"response_id","covid_restrictions_rating","covidclean_consideration"
"GEN24_1018154","1 - Not at all","1 - Never"
"GEN24_1018163","1 - Not at all","1 - Never"
"GEN24_1018165","1 - Not at all","1 - Never"
"GEN24_1018175","1 - Not at all","Not sure"
"GEN24_1018189","1 - Not at all","1 - Never"
"GEN24_1018191","2 - Not very","2 - Sometimes"
"GEN24_1018197","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018199","2 - Not very","3 - Most of the time"
"GEN24_1018216","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018218","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018222","2 - Not very","Not sure"
"GEN24_1018223","1 - Not at all","3 - Most of the time"
"GEN24_1018226","2 - Not very","1 - Never"
"GEN24_1018227","1 - Not at all","1 - Never"
"GEN24_1018228","1 - Not at all","2 - Sometimes"
"GEN24_1018229","1 - Not at all","1 - Never"
"GEN24_1018237","2 - Not very","1 - Never"
"GEN24_1018240","1 - Not at all","3 - Most of the time"
"GEN24_1018241","2 - Not very","2 - Sometimes"
"GEN24_1018247","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018253","1 - Not at all","1 - Never"
"GEN24_1018254","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018257","1 - Not at all","3 - Most of the time"
"GEN24_1018260","1 - Not at all","Not sure"
"GEN24_1018262","1 - Not at all","1 - Never"
"GEN24_1018263","1 - Not at all","2 - Sometimes"
"GEN24_1018265","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1018268","1 - Not at all","2 - Sometimes"
"GEN24_1018274","1 - Not at all","1 - Never"
"GEN24_1018285","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018288","2 - Not very","Not sure"
"GEN24_1018293","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018294","1 - Not at all","1 - Never"
"GEN24_1018296","1 - Not at all","1 - Never"
"GEN24_1018300","1 - Not at all","1 - Never"
"GEN24_1018301","1 - Not at all","1 - Never"
"GEN24_1018303","1 - Not at all","1 - Never"
"GEN24_1018304","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018305","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018307","1 - Not at all","Not sure"
"GEN24_1018311","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018314","1 - Not at all","1 - Never"
"GEN24_1018319","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018336","1 - Not at all","1 - Never"
"GEN24_1018337","1 - Not at all","1 - Never"
"GEN24_1018343","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018344","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018346","1 - Not at all","3 - Most of the time"
"GEN24_1018348","1 - Not at all","1 - Never"
"GEN24_1018353","1 - Not at all","1 - Never"
"GEN24_1018354","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018363","1 - Not at all","1 - Never"
"GEN24_1018366","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018367","3 - Fairly",NA
"GEN24_1018368","4 - Very","Not sure"
"GEN24_1018369","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018373","2 - Not very","1 - Never"
"GEN24_1018376","2 - Not very","1 - Never"
"GEN24_1018377","1 - Not at all","1 - Never"
"GEN24_1018378","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1018381","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018384","1 - Not at all","1 - Never"
"GEN24_1018390","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1018391","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018395","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018399","1 - Not at all","2 - Sometimes"
"GEN24_1018404","2 - Not very","1 - Never"
"GEN24_1018407","1 - Not at all","1 - Never"
"GEN24_1018408","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018411","2 - Not very","1 - Never"
"GEN24_1018452","1 - Not at all","1 - Never"
"GEN24_1018454","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018456","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018466","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018467","1 - Not at all","1 - Never"
"GEN24_1018473","1 - Not at all","4 - Always"
"GEN24_1018488","1 - Not at all","Not sure"
"GEN24_1018489","1 - Not at all","1 - Never"
"GEN24_1018496","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018499","1 - Not at all","1 - Never"
"GEN24_1018505","1 - Not at all","1 - Never"
"GEN24_1018506","4 - Very","3 - Most of the time"
"GEN24_1018507","Don't know","3 - Most of the time"
"GEN24_1018516","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018519","1 - Not at all","1 - Never"
"GEN24_1018520","1 - Not at all","2 - Sometimes"
"GEN24_1018524","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018528","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018530","1 - Not at all","1 - Never"
"GEN24_1018533","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018537","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018539","1 - Not at all","1 - Never"
"GEN24_1018544","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018545","1 - Not at all","1 - Never"
"GEN24_1018546","1 - Not at all","3 - Most of the time"
"GEN24_1018547","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018548","1 - Not at all","1 - Never"
"GEN24_1018550","3 - Fairly","2 - Sometimes"
"GEN24_1018551","1 - Not at all","1 - Never"
"GEN24_1018555","1 - Not at all","2 - Sometimes"
"GEN24_1018562","2 - Not very","1 - Never"
"GEN24_1018563","2 - Not very","Not sure"
"GEN24_1018569","1 - Not at all","1 - Never"
"GEN24_1018571","4 - Very","3 - Most of the time"
"GEN24_1018574","1 - Not at all","1 - Never"
"GEN24_1018575","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018576","1 - Not at all","1 - Never"
"GEN24_1018580","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018581","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1018585","2 - Not very","Not sure"
"GEN24_1018592","1 - Not at all","1 - Never"
"GEN24_1018593","1 - Not at all","Not sure"
"GEN24_1018594","1 - Not at all","1 - Never"
"GEN24_1018629","2 - Not very","1 - Never"
"GEN24_1018637","1 - Not at all","3 - Most of the time"
"GEN24_1018642","3 - Fairly","1 - Never"
"GEN24_1018649","1 - Not at all","1 - Never"
"GEN24_1018650","1 - Not at all","1 - Never"
"GEN24_1018651","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018652","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018658","3 - Fairly","Not sure"
"GEN24_1018659","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018665","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018670","1 - Not at all","1 - Never"
"GEN24_1018674","1 - Not at all","1 - Never"
"GEN24_1018676","2 - Not very","3 - Most of the time"
"GEN24_1018677","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018681","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018686","1 - Not at all","1 - Never"
"GEN24_1018687","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018690","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018696","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018704","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1018712","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018714","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018716","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018717","1 - Not at all","2 - Sometimes"
"GEN24_1018720","2 - Not very","2 - Sometimes"
"GEN24_1018721","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018724","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018726","2 - Not very","1 - Never"
"GEN24_1018730","2 - Not very","1 - Never"
"GEN24_1018732","2 - Not very","1 - Never"
"GEN24_1018733","1 - Not at all","1 - Never"
"GEN24_1018734","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018735","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018742","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018745","2 - Not very","4 - Always"
"GEN24_1018771","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018785","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1018795","1 - Not at all","1 - Never"
"GEN24_1018797","1 - Not at all","2 - Sometimes"
"GEN24_1018802","1 - Not at all","3 - Most of the time"
"GEN24_1018804","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018806","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018807","1 - Not at all","1 - Never"
"GEN24_1018808","1 - Not at all","4 - Always"
"GEN24_1018817","2 - Not very","1 - Never"
"GEN24_1018822","1 - Not at all","1 - Never"
"GEN24_1018825","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018833","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018838","1 - Not at all","1 - Never"
"GEN24_1018840","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018842","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018844","1 - Not at all","1 - Never"
"GEN24_1018850","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018855","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018858","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018864","1 - Not at all","1 - Never"
"GEN24_1018871","1 - Not at all","1 - Never"
"GEN24_1018881","1 - Not at all","1 - Never"
"GEN24_1018887","1 - Not at all","1 - Never"
"GEN24_1018897","1 - Not at all","1 - Never"
"GEN24_1018899","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018900","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018907","1 - Not at all","1 - Never"
"GEN24_1018918","1 - Not at all","1 - Never"
"GEN24_1018920","1 - Not at all","1 - Never"
"GEN24_1018927","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018928","1 - Not at all","2 - Sometimes"
"GEN24_1018929","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018933","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018935","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018937","2 - Not very","3 - Most of the time"
"GEN24_1018938","1 - Not at all","1 - Never"
"GEN24_1018943","1 - Not at all","Not sure"
"GEN24_1018945","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018950","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018951","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018952","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018954","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018957","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018960","1 - Not at all","1 - Never"
"GEN24_1018962","1 - Not at all","1 - Never"
"GEN24_1018965","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018974","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018976","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018979","2 - Not very","1 - Never"
"GEN24_1018981","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1018986","2 - Not very","2 - Sometimes"
"GEN24_1018987","1 - Not at all","1 - Never"
"GEN24_1018989","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1018991","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1018995","2 - Not very","2 - Sometimes"
"GEN24_1019003","1 - Not at all","1 - Never"
"GEN24_1019005","1 - Not at all","2 - Sometimes"
"GEN24_1019009","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019016","1 - Not at all","1 - Never"
"GEN24_1019031","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019032","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019035","1 - Not at all","2 - Sometimes"
"GEN24_1019038","1 - Not at all","1 - Never"
"GEN24_1019042","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019043","1 - Not at all","1 - Never"
"GEN24_1019048","1 - Not at all","2 - Sometimes"
"GEN24_1019060","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019064","1 - Not at all","4 - Always"
"GEN24_1019067","1 - Not at all","Not sure"
"GEN24_1019068","1 - Not at all","1 - Never"
"GEN24_1019078","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019084","1 - Not at all","1 - Never"
"GEN24_1019091","1 - Not at all","1 - Never"
"GEN24_1019092","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019094","1 - Not at all","1 - Never"
"GEN24_1019097","1 - Not at all","3 - Most of the time"
"GEN24_1019116","1 - Not at all","1 - Never"
"GEN24_1019118","1 - Not at all","Not sure"
"GEN24_1019119","1 - Not at all","1 - Never"
"GEN24_1019120","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019122","1 - Not at all","1 - Never"
"GEN24_1019123","1 - Not at all","1 - Never"
"GEN24_1019128","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019134","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019140","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019145","1 - Not at all","1 - Never"
"GEN24_1019157","1 - Not at all","1 - Never"
"GEN24_1019158","2 - Not very","Not sure"
"GEN24_1019172","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019180","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019181","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019184","1 - Not at all","1 - Never"
"GEN24_1019186","2 - Not very","2 - Sometimes"
"GEN24_1019191","1 - Not at all","2 - Sometimes"
"GEN24_1019201","1 - Not at all","1 - Never"
"GEN24_1019203","1 - Not at all","1 - Never"
"GEN24_1019212","1 - Not at all","1 - Never"
"GEN24_1019213","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019214","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019216","1 - Not at all","1 - Never"
"GEN24_1019220","1 - Not at all","1 - Never"
"GEN24_1019227","1 - Not at all","1 - Never"
"GEN24_1019230","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019233","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019254","3 - Fairly","3 - Most of the time"
"GEN24_1019255","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1019262","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019265","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019269","3 - Fairly","3 - Most of the time"
"GEN24_1019271","1 - Not at all","1 - Never"
"GEN24_1019281","2 - Not very","1 - Never"
"GEN24_1019284","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019285","1 - Not at all","1 - Never"
"GEN24_1019286","1 - Not at all","1 - Never"
"GEN24_1019289","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019292","1 - Not at all","1 - Never"
"GEN24_1019300","1 - Not at all","1 - Never"
"GEN24_1019309","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019319","2 - Not very","Not sure"
"GEN24_1019323","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019324","1 - Not at all","2 - Sometimes"
"GEN24_1019327","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019328","1 - Not at all","1 - Never"
"GEN24_1019335","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019336","1 - Not at all","1 - Never"
"GEN24_1019338","1 - Not at all","1 - Never"
"GEN24_1019339","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019345","1 - Not at all","1 - Never"
"GEN24_1019346","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019347","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019350","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019354","1 - Not at all","1 - Never"
"GEN24_1019355","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019356","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019360","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019361","2 - Not very","1 - Never"
"GEN24_1019368","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019373","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019375","2 - Not very","3 - Most of the time"
"GEN24_1019381","2 - Not very","1 - Never"
"GEN24_1019382","1 - Not at all","1 - Never"
"GEN24_1019394","1 - Not at all","Not sure"
"GEN24_1019397","1 - Not at all","1 - Never"
"GEN24_1019399","1 - Not at all","1 - Never"
"GEN24_1019402","1 - Not at all","1 - Never"
"GEN24_1019412","2 - Not very","1 - Never"
"GEN24_1019416","1 - Not at all","4 - Always"
"GEN24_1019423","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019426","2 - Not very","1 - Never"
"GEN24_1019428","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019429","1 - Not at all","1 - Never"
"GEN24_1019432","2 - Not very","1 - Never"
"GEN24_1019434","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019438","1 - Not at all","1 - Never"
"GEN24_1019439","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019448","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019449","1 - Not at all","3 - Most of the time"
"GEN24_1019453","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019455","1 - Not at all","2 - Sometimes"
"GEN24_1019456","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019457","2 - Not very","1 - Never"
"GEN24_1019460","1 - Not at all","1 - Never"
"GEN24_1019465","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019467","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019470","1 - Not at all","2 - Sometimes"
"GEN24_1019473","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019474","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019475","1 - Not at all","4 - Always"
"GEN24_1019477","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019479","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019481","1 - Not at all","1 - Never"
"GEN24_1019487","1 - Not at all","Not sure"
"GEN24_1019490","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019491","3 - Fairly","4 - Always"
"GEN24_1019492","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019493","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019495","1 - Not at all","1 - Never"
"GEN24_1019497","1 - Not at all","1 - Never"
"GEN24_1019498","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019504","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019517","2 - Not very","1 - Never"
"GEN24_1019519","2 - Not very","1 - Never"
"GEN24_1019520","1 - Not at all","1 - Never"
"GEN24_1019529","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019530","2 - Not very","2 - Sometimes"
"GEN24_1019533","1 - Not at all","1 - Never"
"GEN24_1019534","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019538","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019547","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1019548","1 - Not at all","1 - Never"
"GEN24_1019552","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019554","1 - Not at all","1 - Never"
"GEN24_1019556","1 - Not at all","2 - Sometimes"
"GEN24_1019559","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019562","1 - Not at all","1 - Never"
"GEN24_1019564","1 - Not at all","Not sure"
"GEN24_1019566","1 - Not at all","1 - Never"
"GEN24_1019568","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019569","1 - Not at all","2 - Sometimes"
"GEN24_1019574","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019576","2 - Not very","1 - Never"
"GEN24_1019582","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019584","1 - Not at all","4 - Always"
"GEN24_1019586","1 - Not at all","1 - Never"
"GEN24_1019593","1 - Not at all","2 - Sometimes"
"GEN24_1019595","1 - Not at all","1 - Never"
"GEN24_1019597","1 - Not at all","1 - Never"
"GEN24_1019601","1 - Not at all","1 - Never"
"GEN24_1019603","1 - Not at all","3 - Most of the time"
"GEN24_1019606","1 - Not at all","1 - Never"
"GEN24_1019608","1 - Not at all","1 - Never"
"GEN24_1019609","1 - Not at all","1 - Never"
"GEN24_1019613","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019622","1 - Not at all","1 - Never"
"GEN24_1019623","1 - Not at all","1 - Never"
"GEN24_1019626","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019631","1 - Not at all","2 - Sometimes"
"GEN24_1019639","1 - Not at all","1 - Never"
"GEN24_1019642","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019644","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019649","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019652","1 - Not at all","4 - Always"
"GEN24_1019653","1 - Not at all","1 - Never"
"GEN24_1019656","1 - Not at all","1 - Never"
"GEN24_1019658","1 - Not at all","1 - Never"
"GEN24_1019665","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019675","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019682","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019685","2 - Not very","1 - Never"
"GEN24_1019697","1 - Not at all","4 - Always"
"GEN24_1019701","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019707","1 - Not at all","2 - Sometimes"
"GEN24_1019716","2 - Not very","2 - Sometimes"
"GEN24_1019717","1 - Not at all","1 - Never"
"GEN24_1019718","Don't know","Haven't heard of COVIDCLEAN"
"GEN24_1019723","1 - Not at all","1 - Never"
"GEN24_1019724","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019728","1 - Not at all","1 - Never"
"GEN24_1019731","1 - Not at all","4 - Always"
"GEN24_1019735","1 - Not at all","1 - Never"
"GEN24_1019739","1 - Not at all","2 - Sometimes"
"GEN24_1019740","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1019746","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019751","1 - Not at all","1 - Never"
"GEN24_1019752","1 - Not at all","1 - Never"
"GEN24_1019754","1 - Not at all","1 - Never"
"GEN24_1019756","1 - Not at all","1 - Never"
"GEN24_1019757","1 - Not at all","1 - Never"
"GEN24_1019759","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019763","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019766","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019767","2 - Not very","1 - Never"
"GEN24_1019768","1 - Not at all","1 - Never"
"GEN24_1019771","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019776","1 - Not at all","1 - Never"
"GEN24_1019801","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019802","1 - Not at all","2 - Sometimes"
"GEN24_1019806","1 - Not at all","3 - Most of the time"
"GEN24_1019809","1 - Not at all","1 - Never"
"GEN24_1019811","2 - Not very","Not sure"
"GEN24_1019821","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019826","Don't know","Haven't heard of COVIDCLEAN"
"GEN24_1019833","2 - Not very","1 - Never"
"GEN24_1019834","2 - Not very","1 - Never"
"GEN24_1019837","1 - Not at all","1 - Never"
"GEN24_1019839","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019850","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019851","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019859","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019861","1 - Not at all","1 - Never"
"GEN24_1019868","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019869","1 - Not at all","1 - Never"
"GEN24_1019870","1 - Not at all","1 - Never"
"GEN24_1019876","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019878","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019879","1 - Not at all","1 - Never"
"GEN24_1019880","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019881","1 - Not at all","1 - Never"
"GEN24_1019883","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019884","1 - Not at all","1 - Never"
"GEN24_1019892","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019893","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019894","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019896","3 - Fairly","Haven't heard of COVIDCLEAN"
"GEN24_1019899","1 - Not at all","1 - Never"
"GEN24_1019900","1 - Not at all","1 - Never"
"GEN24_1019907","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019908","1 - Not at all","1 - Never"
"GEN24_1019910","1 - Not at all","1 - Never"
"GEN24_1019912","1 - Not at all","1 - Never"
"GEN24_1019914","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019915","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019917","2 - Not very","1 - Never"
"GEN24_1019919","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019920","2 - Not very","3 - Most of the time"
"GEN24_1019922","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019923","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019924","4 - Very","Haven't heard of COVIDCLEAN"
"GEN24_1019926","1 - Not at all","1 - Never"
"GEN24_1019928","1 - Not at all","2 - Sometimes"
"GEN24_1019931","1 - Not at all","Not sure"
"GEN24_1019933","2 - Not very","1 - Never"
"GEN24_1019935","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019941","1 - Not at all","1 - Never"
"GEN24_1019951","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019954","1 - Not at all","1 - Never"
"GEN24_1019962","1 - Not at all","1 - Never"
"GEN24_1019965","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019966","1 - Not at all","4 - Always"
"GEN24_1019980","2 - Not very","Haven't heard of COVIDCLEAN"
"GEN24_1019987","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019989","1 - Not at all","Not sure"
"GEN24_1019990","1 - Not at all","1 - Never"
"GEN24_1019992","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019994","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1019997","1 - Not at all","1 - Never"
"GEN24_1020011","2 - Not very","2 - Sometimes"
"GEN24_1020018","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1020022","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1020024","1 - Not at all","Haven't heard of COVIDCLEAN"
"GEN24_1020029","1 - Not at all","1 - Never"
"GEN24_1020041","1 - Not at all","3 - Most of the time"
