"response_id","drive_yourself","driving_information"
"GEN24_1009486","Yes","While in New Zealand"
"GEN24_1009491","Yes","I did not receive any information"
"GEN24_1009498","Yes","While in New Zealand"
"GEN24_1009503","Yes","While in New Zealand"
"GEN24_1009511","Yes","Before arriving in New Zealand"
"GEN24_1009526","Yes","While in New Zealand"
"GEN24_1009535","Yes","Before arriving in New Zealand"
"GEN24_1009535","Yes","While in New Zealand"
"GEN24_1009536","Yes","While in New Zealand"
"GEN24_1009543","Yes","I did not receive any information"
"GEN24_1009544","Yes","Before arriving in New Zealand"
"GEN24_1009544","Yes","While in New Zealand"
"GEN24_1009545","Yes","I did not receive any information"
"GEN24_1009556","Yes","Before arriving in New Zealand"
"GEN24_1009556","Yes","While in New Zealand"
"GEN24_1009558","Yes","Before arriving in New Zealand"
"GEN24_1009561","Yes","I did not receive any information"
"GEN24_1009563","Yes","I did not receive any information"
"GEN24_1009567","Yes","I did not receive any information"
"GEN24_1009571","Yes","I did not receive any information"
"GEN24_1009574","Yes","While in New Zealand"
"GEN24_1009576","Yes","While in New Zealand"
"GEN24_1009595","Yes","I did not receive any information"
"GEN24_1009611","No",NA
"GEN24_1009613","Yes","I did not receive any information"
"GEN24_1009616","No",NA
"GEN24_1009617","Yes","I did not receive any information"
"GEN24_1009621","No",NA
"GEN24_1009626","Yes","I did not receive any information"
"GEN24_1009641","Yes","Before arriving in New Zealand"
"GEN24_1009641","Yes","While in New Zealand"
"GEN24_1009650","Yes","While in New Zealand"
"GEN24_1009652","Yes","Before arriving in New Zealand"
"GEN24_1009653","Yes","I did not receive any information"
"GEN24_1009657","Yes","I did not receive any information"
"GEN24_1009658","Yes","Before arriving in New Zealand"
"GEN24_1009666","No",NA
"GEN24_1009707","Yes","Before arriving in New Zealand"
"GEN24_1009709","Yes","Before arriving in New Zealand"
"GEN24_1009715","Yes","Before arriving in New Zealand"
"GEN24_1009718","No",NA
"GEN24_1009719","Yes","While in New Zealand"
"GEN24_1009721","Yes","Before arriving in New Zealand"
"GEN24_1009723","No",NA
"GEN24_1009725","Yes","Before arriving in New Zealand"
"GEN24_1009732","Yes","I did not receive any information"
"GEN24_1009742","Yes","I did not receive any information"
"GEN24_1009748","Yes","I did not receive any information"
"GEN24_1009751","Yes","I did not receive any information"
"GEN24_1009753","No",NA
"GEN24_1009755","Yes","While in New Zealand"
"GEN24_1009757","Yes","I did not receive any information"
"GEN24_1009763","Yes","Before arriving in New Zealand"
"GEN24_1009766","Yes","Before arriving in New Zealand"
"GEN24_1009767","Yes","Before arriving in New Zealand"
"GEN24_1009768","Yes","Before arriving in New Zealand"
"GEN24_1009775","Yes","I did not receive any information"
"GEN24_1009776","Yes","I did not receive any information"
"GEN24_1009779","No",NA
"GEN24_1009791","Yes","While in New Zealand"
"GEN24_1009792","No",NA
"GEN24_1009806","Yes","I did not receive any information"
"GEN24_1009815","Yes","Before arriving in New Zealand"
"GEN24_1009826","No",NA
"GEN24_1009843","Yes","While in New Zealand"
"GEN24_1009848","No",NA
"GEN24_1009850","Yes","While in New Zealand"
"GEN24_1009854","Yes","I did not receive any information"
"GEN24_1009856","Yes","Before arriving in New Zealand"
"GEN24_1009857","Yes","I did not receive any information"
"GEN24_1009865","Yes","I did not receive any information"
"GEN24_1009868","Yes","While in New Zealand"
"GEN24_1009870","Yes","I did not receive any information"
"GEN24_1009872","Yes","I did not receive any information"
"GEN24_1009873","Yes","I did not receive any information"
"GEN24_1009877","No",NA
"GEN24_1009892","Yes","I did not receive any information"
"GEN24_1009900","Yes","Before arriving in New Zealand"
"GEN24_1009902","Yes","Before arriving in New Zealand"
"GEN24_1009906","Can’t remember",NA
"GEN24_1009908","Yes","I did not receive any information"
"GEN24_1009909","No",NA
"GEN24_1009913","Yes","Before arriving in New Zealand"
"GEN24_1009918","Yes","While in New Zealand"
"GEN24_1009919","Yes","Before arriving in New Zealand"
"GEN24_1009923","Yes","While in New Zealand"
"GEN24_1009924","Yes","Before arriving in New Zealand"
"GEN24_1009929","Yes","I did not receive any information"
"GEN24_1009930","No",NA
"GEN24_1009931","No",NA
"GEN24_1009939","Yes","Before arriving in New Zealand"
"GEN24_1009942","No",NA
"GEN24_1009952","No",NA
"GEN24_1009962","Yes","While in New Zealand"
"GEN24_1009964","Yes","Before arriving in New Zealand"
"GEN24_1009965","Yes","Before arriving in New Zealand"
"GEN24_1009972","No",NA
"GEN24_1009976","No",NA
"GEN24_1009994","Yes","While in New Zealand"
"GEN24_1009997","Yes","While in New Zealand"
"GEN24_1009998","Yes","While in New Zealand"
"GEN24_1009999","Yes","While in New Zealand"
"GEN24_1010001","No",NA
"GEN24_1010002","Yes","Before arriving in New Zealand"
"GEN24_1010012","Yes","Before arriving in New Zealand"
"GEN24_1010018","Yes","I did not receive any information"
"GEN24_1010026","No",NA
"GEN24_1010030","Yes","I did not receive any information"
"GEN24_1010036","Yes","I did not receive any information"
"GEN24_1010040","Yes","While in New Zealand"
"GEN24_1010041","Yes","I did not receive any information"
"GEN24_1010050","Yes","I did not receive any information"
"GEN24_1010053","No",NA
"GEN24_1010061","Yes","I did not receive any information"
"GEN24_1010077","No",NA
"GEN24_1010090","Yes","While in New Zealand"
"GEN24_1010098","Yes","Before arriving in New Zealand"
"GEN24_1010098","Yes","While in New Zealand"
"GEN24_1010103","Yes","I did not receive any information"
"GEN24_1010106","Yes","Before arriving in New Zealand"
"GEN24_1010108","No",NA
"GEN24_1010117","No",NA
"GEN24_1010127","Yes","Before arriving in New Zealand"
"GEN24_1010131","Yes","While in New Zealand"
"GEN24_1010138","No",NA
"GEN24_1010139","Yes","Before arriving in New Zealand"
"GEN24_1010141","Yes","While in New Zealand"
"GEN24_1010150","Yes","Before arriving in New Zealand"
"GEN24_1010179","Yes","I did not receive any information"
"GEN24_1010183","No",NA
"GEN24_1010189","Yes","I did not receive any information"
"GEN24_1010190","Yes","Before arriving in New Zealand"
"GEN24_1010191","No",NA
"GEN24_1010192","No",NA
"GEN24_1010198","No",NA
"GEN24_1010202","Yes","Before arriving in New Zealand"
"GEN24_1010207","No",NA
"GEN24_1010213","Yes","While in New Zealand"
"GEN24_1010218","Yes","I did not receive any information"
"GEN24_1010239","Yes","I did not receive any information"
"GEN24_1010241","Yes","While in New Zealand"
"GEN24_1010245","Yes","Before arriving in New Zealand"
"GEN24_1010245","Yes","While in New Zealand"
"GEN24_1010249","Yes","While in New Zealand"
"GEN24_1010253","Yes","I did not receive any information"
"GEN24_1010258","Yes","While in New Zealand"
"GEN24_1010259","Yes","I did not receive any information"
"GEN24_1010261","Yes","While in New Zealand"
"GEN24_1010264","No",NA
"GEN24_1010265","Yes","Before arriving in New Zealand"
"GEN24_1010266","No",NA
"GEN24_1010278","No",NA
"GEN24_1010284","Yes","Before arriving in New Zealand"
"GEN24_1010290","Yes","Before arriving in New Zealand"
"GEN24_1010290","Yes","While in New Zealand"
"GEN24_1010294","No",NA
"GEN24_1010296","Yes","I did not receive any information"
"GEN24_1010299","Yes","I did not receive any information"
"GEN24_1010300","Yes","Before arriving in New Zealand"
"GEN24_1010300","Yes","While in New Zealand"
"GEN24_1010302","Yes","Before arriving in New Zealand"
"GEN24_1010310","No",NA
"GEN24_1010311","Yes","While in New Zealand"
"GEN24_1010312","Yes","Before arriving in New Zealand"
"GEN24_1010313","Yes","While in New Zealand"
"GEN24_1010314","Yes","I did not receive any information"
"GEN24_1010320","Yes","While in New Zealand"
"GEN24_1010321","Yes","Before arriving in New Zealand"
"GEN24_1010323","No",NA
"GEN24_1010326","Yes","I did not receive any information"
"GEN24_1010327","No",NA
"GEN24_1010328","Yes","While in New Zealand"
"GEN24_1010331","Yes","I did not receive any information"
"GEN24_1010337","Yes","Before arriving in New Zealand"
"GEN24_1010344","No",NA
"GEN24_1010351","No",NA
"GEN24_1010359","Yes","I did not receive any information"
"GEN24_1010376","Yes","I did not receive any information"
"GEN24_1010378","Yes","I did not receive any information"
"GEN24_1010382","No",NA
"GEN24_1010383","Yes","Before arriving in New Zealand"
"GEN24_1010387","Yes","I did not receive any information"
"GEN24_1010388","Yes","I did not receive any information"
"GEN24_1010396","Yes","While in New Zealand"
"GEN24_1010400","Yes","While in New Zealand"
"GEN24_1010422","Yes","While in New Zealand"
"GEN24_1010441","Yes","I did not receive any information"
"GEN24_1010442","Yes","Before arriving in New Zealand"
"GEN24_1010444","Yes","I did not receive any information"
"GEN24_1010446","No",NA
"GEN24_1010455","Yes","Before arriving in New Zealand"
"GEN24_1010459","Yes","I did not receive any information"
"GEN24_1010468","Yes","I did not receive any information"
"GEN24_1010475","Yes","Before arriving in New Zealand"
"GEN24_1010480","No",NA
"GEN24_1010491","No",NA
"GEN24_1010492","Yes","While in New Zealand"
"GEN24_1010513","Yes","I did not receive any information"
"GEN24_1010516","Yes","I did not receive any information"
"GEN24_1010524","Yes","While in New Zealand"
"GEN24_1010525","No",NA
"GEN24_1010529","Yes","Before arriving in New Zealand"
"GEN24_1010531","Yes","Before arriving in New Zealand"
"GEN24_1010532","No",NA
"GEN24_1010537","Yes","While in New Zealand"
"GEN24_1010539","Yes","While in New Zealand"
"GEN24_1010550","Yes","Before arriving in New Zealand"
"GEN24_1010553","Yes","While in New Zealand"
"GEN24_1010554","Yes","I did not receive any information"
"GEN24_1010562","Yes","Before arriving in New Zealand"
"GEN24_1010562","Yes","While in New Zealand"
"GEN24_1010564","No",NA
"GEN24_1010573","Yes","I did not receive any information"
"GEN24_1010577","Yes","I did not receive any information"
"GEN24_1010585","Yes","I did not receive any information"
"GEN24_1010589","Yes","While in New Zealand"
"GEN24_1010593","Yes","I did not receive any information"
"GEN24_1010597","No",NA
"GEN24_1010598","Yes","I did not receive any information"
"GEN24_1010620","Yes","I did not receive any information"
"GEN24_1010628","Yes","I did not receive any information"
"GEN24_1010629","Yes","I did not receive any information"
"GEN24_1010630","Yes","While in New Zealand"
"GEN24_1010633","Yes","I did not receive any information"
"GEN24_1010635","No",NA
"GEN24_1010643","No",NA
"GEN24_1010647","Yes","I did not receive any information"
"GEN24_1010651","Yes","Before arriving in New Zealand"
"GEN24_1010674","Yes","Before arriving in New Zealand"
"GEN24_1010674","Yes","While in New Zealand"
"GEN24_1010678","Yes","Before arriving in New Zealand"
"GEN24_1010680","Yes","Before arriving in New Zealand"
"GEN24_1010681","Yes","While in New Zealand"
"GEN24_1010688","Yes","I did not receive any information"
"GEN24_1010690","Yes","While in New Zealand"
"GEN24_1010691","No",NA
"GEN24_1010702","Yes","Before arriving in New Zealand"
"GEN24_1010702","Yes","While in New Zealand"
"GEN24_1010707","No",NA
"GEN24_1010715","Yes","Before arriving in New Zealand"
"GEN24_1010718","Yes","Before arriving in New Zealand"
"GEN24_1010721","No",NA
"GEN24_1010723","Yes","Before arriving in New Zealand"
"GEN24_1010723","Yes","While in New Zealand"
"GEN24_1010731","Yes","I did not receive any information"
"GEN24_1010732","Yes","Before arriving in New Zealand"
"GEN24_1010732","Yes","While in New Zealand"
"GEN24_1010735","Yes","I did not receive any information"
"GEN24_1010750","Yes","Before arriving in New Zealand"
"GEN24_1010753","Yes","I did not receive any information"
"GEN24_1010756","No",NA
"GEN24_1010764","Yes","Before arriving in New Zealand"
"GEN24_1010765","No",NA
"GEN24_1010767","Yes","I did not receive any information"
"GEN24_1010768","Yes","Before arriving in New Zealand"
"GEN24_1010768","Yes","While in New Zealand"
"GEN24_1010771","Yes","Before arriving in New Zealand"
"GEN24_1010784","No",NA
"GEN24_1010785","No",NA
"GEN24_1010787","No",NA
"GEN24_1010791","Yes","I did not receive any information"
"GEN24_1010793","No",NA
"GEN24_1010796","Yes","I did not receive any information"
"GEN24_1010798","Yes","Before arriving in New Zealand"
"GEN24_1010798","Yes","While in New Zealand"
"GEN24_1010799","Yes","While in New Zealand"
"GEN24_1010800","Yes","I did not receive any information"
"GEN24_1010802","Yes","I did not receive any information"
"GEN24_1010804","Yes","Before arriving in New Zealand"
"GEN24_1010820","Yes","I did not receive any information"
"GEN24_1010831","Yes","While in New Zealand"
"GEN24_1010837","Yes","Before arriving in New Zealand"
"GEN24_1010841","Yes","While in New Zealand"
"GEN24_1010861","Yes","I did not receive any information"
"GEN24_1010878","No",NA
"GEN24_1010881","Yes","While in New Zealand"
"GEN24_1010886","No",NA
"GEN24_1010888","No",NA
"GEN24_1010898","Yes","While in New Zealand"
"GEN24_1010900","Yes","Before arriving in New Zealand"
"GEN24_1010901","No",NA
"GEN24_1010904","No",NA
"GEN24_1010914","No",NA
"GEN24_1010915","Yes","Before arriving in New Zealand"
"GEN24_1010922","Yes","While in New Zealand"
"GEN24_1010924","Yes","I did not receive any information"
"GEN24_1010927","Yes","I did not receive any information"
"GEN24_1010935","Yes","Before arriving in New Zealand"
"GEN24_1010935","Yes","While in New Zealand"
"GEN24_1010941","Yes","I did not receive any information"
"GEN24_1010948","Yes","I did not receive any information"
"GEN24_1010954","Yes","I did not receive any information"
"GEN24_1010956","Yes","While in New Zealand"
"GEN24_1010968","No",NA
"GEN24_1010970","No",NA
"GEN24_1010976","No",NA
"GEN24_1010978","Yes","While in New Zealand"
"GEN24_1010979","No",NA
"GEN24_1010980","Yes","I did not receive any information"
"GEN24_1010984","No",NA
"GEN24_1010988","Yes","While in New Zealand"
"GEN24_1010990","Yes","I did not receive any information"
"GEN24_1010992","Yes","While in New Zealand"
"GEN24_1010995","No",NA
"GEN24_1011000","Yes","Before arriving in New Zealand"
"GEN24_1011007","No",NA
"GEN24_1011016","Yes","I did not receive any information"
"GEN24_1011019","Yes","Before arriving in New Zealand"
"GEN24_1011021","Yes","I did not receive any information"
"GEN24_1011029","No",NA
"GEN24_1011030","Yes","While in New Zealand"
"GEN24_1011035","Yes","Before arriving in New Zealand"
"GEN24_1011045","No",NA
"GEN24_1011055","Yes","I did not receive any information"
"GEN24_1011056","No",NA
"GEN24_1011058","Yes","While in New Zealand"
"GEN24_1011065","Yes","Before arriving in New Zealand"
"GEN24_1011065","Yes","While in New Zealand"
"GEN24_1011069","No",NA
"GEN24_1011071","Yes","Before arriving in New Zealand"
"GEN24_1011071","Yes","While in New Zealand"
"GEN24_1011072","No",NA
"GEN24_1011086","Yes","I did not receive any information"
"GEN24_1011090","Yes","While in New Zealand"
"GEN24_1011094","Yes","I did not receive any information"
"GEN24_1011096","Yes","Before arriving in New Zealand"
"GEN24_1011097","No",NA
"GEN24_1011099","Yes","Before arriving in New Zealand"
"GEN24_1011103","Yes","I did not receive any information"
"GEN24_1011105","Yes","I did not receive any information"
"GEN24_1011106","Yes","I did not receive any information"
"GEN24_1011107","Yes","Before arriving in New Zealand"
"GEN24_1011115","Yes","I did not receive any information"
"GEN24_1011120","Yes","Before arriving in New Zealand"
"GEN24_1011122","Yes","I did not receive any information"
"GEN24_1011128","Yes","I did not receive any information"
"GEN24_1011155","Yes","While in New Zealand"
"GEN24_1011156","Yes","I did not receive any information"
"GEN24_1011157","Yes","Before arriving in New Zealand"
"GEN24_1011159","Yes","Before arriving in New Zealand"
"GEN24_1011160","No",NA
"GEN24_1011164","Yes","I did not receive any information"
"GEN24_1011168","Yes","Before arriving in New Zealand"
"GEN24_1011176","No",NA
"GEN24_1011178","Yes","While in New Zealand"
"GEN24_1011184","No",NA
"GEN24_1011191","Yes","While in New Zealand"
"GEN24_1011198","Yes","Before arriving in New Zealand"
"GEN24_1011198","Yes","While in New Zealand"
"GEN24_1011199","Yes","While in New Zealand"
"GEN24_1011200","Yes","I did not receive any information"
"GEN24_1011225","No",NA
"GEN24_1011227","Yes","I did not receive any information"
"GEN24_1011234","Yes","Before arriving in New Zealand"
"GEN24_1011250","Yes","Before arriving in New Zealand"
"GEN24_1011250","Yes","While in New Zealand"
"GEN24_1011259","Yes","Before arriving in New Zealand"
"GEN24_1011262","No",NA
"GEN24_1011272","Yes","While in New Zealand"
"GEN24_1011277","No",NA
"GEN24_1011279","Yes","I did not receive any information"
"GEN24_1011280","Yes","Before arriving in New Zealand"
"GEN24_1011290","Yes","Before arriving in New Zealand"
"GEN24_1011292","No",NA
"GEN24_1011297","Yes","Before arriving in New Zealand"
"GEN24_1011299","Yes","While in New Zealand"
"GEN24_1011308","Yes","I did not receive any information"
"GEN24_1011309","Yes","Before arriving in New Zealand"
"GEN24_1011315","No",NA
"GEN24_1011338","Yes","I did not receive any information"
"GEN24_1011340","Yes","Before arriving in New Zealand"
"GEN24_1011340","Yes","While in New Zealand"
"GEN24_1011341","Yes","I did not receive any information"
"GEN24_1011348","No",NA
"GEN24_1011349","Yes","I did not receive any information"
"GEN24_1011355","No",NA
"GEN24_1011360","Yes","Before arriving in New Zealand"
"GEN24_1011364","Yes","While in New Zealand"
"GEN24_1011369","No",NA
"GEN24_1011372","Yes","I did not receive any information"
"GEN24_1011383","No",NA
"GEN24_1011385","Yes","While in New Zealand"
"GEN24_1011393","No",NA
"GEN24_1011406","Yes","I did not receive any information"
"GEN24_1011408","Yes","I did not receive any information"
"GEN24_1011409","Yes","Before arriving in New Zealand"
"GEN24_1011412","Yes","Before arriving in New Zealand"
"GEN24_1011415","Yes","I did not receive any information"
"GEN24_1011436","No",NA
"GEN24_1011447","Yes","Before arriving in New Zealand"
"GEN24_1011447","Yes","While in New Zealand"
"GEN24_1011452","Yes","Before arriving in New Zealand"
"GEN24_1011465","Yes","Before arriving in New Zealand"
"GEN24_1011480","No",NA
"GEN24_1011492","Yes","Before arriving in New Zealand"
"GEN24_1011495","Yes","I did not receive any information"
"GEN24_1011522","Yes","Before arriving in New Zealand"
"GEN24_1011525","Yes","While in New Zealand"
"GEN24_1011530","Yes","Before arriving in New Zealand"
"GEN24_1011535","Yes","Before arriving in New Zealand"
"GEN24_1011535","Yes","While in New Zealand"
"GEN24_1011538","No",NA
"GEN24_1011541","Yes","I did not receive any information"
"GEN24_1011561","Yes","Before arriving in New Zealand"
"GEN24_1011561","Yes","While in New Zealand"
"GEN24_1011583","Yes","While in New Zealand"
"GEN24_1011587","Yes","Before arriving in New Zealand"
"GEN24_1011607","No",NA
"GEN24_1011624","Yes","While in New Zealand"
"GEN24_1011634","Yes","Before arriving in New Zealand"
"GEN24_1011639","Yes","Before arriving in New Zealand"
"GEN24_1011639","Yes","While in New Zealand"
"GEN24_1011641","Yes","Before arriving in New Zealand"
"GEN24_1011657","Yes","I did not receive any information"
"GEN24_1011665","Yes","Before arriving in New Zealand"
"GEN24_1011668","Yes","I did not receive any information"
"GEN24_1011669","Yes","Before arriving in New Zealand"
"GEN24_1011671","Yes","Before arriving in New Zealand"
"GEN24_1011680","Yes","While in New Zealand"
"GEN24_1011682","No",NA
"GEN24_1011688","Yes","I did not receive any information"
"GEN24_1011689","Yes","While in New Zealand"
"GEN24_1011692","Yes","Before arriving in New Zealand"
"GEN24_1011697","Yes","I did not receive any information"
"GEN24_1011709","Yes","I did not receive any information"
"GEN24_1011710","Yes","While in New Zealand"
"GEN24_1011711","Yes","While in New Zealand"
"GEN24_1011717","Yes","While in New Zealand"
"GEN24_1011728","Yes","I did not receive any information"
"GEN24_1011733","Yes","I did not receive any information"
"GEN24_1011737","Yes","I did not receive any information"
"GEN24_1011740","Yes","Before arriving in New Zealand"
"GEN24_1011744","No",NA
"GEN24_1011747","Yes","Before arriving in New Zealand"
"GEN24_1011747","Yes","While in New Zealand"
"GEN24_1011762","Yes","While in New Zealand"
"GEN24_1011763","Yes","Before arriving in New Zealand"
"GEN24_1011764","Yes","Before arriving in New Zealand"
"GEN24_1011764","Yes","While in New Zealand"
"GEN24_1011804","Yes","Before arriving in New Zealand"
"GEN24_1011804","Yes","While in New Zealand"
"GEN24_1011815","Yes","While in New Zealand"
"GEN24_1011823","Yes","I did not receive any information"
"GEN24_1011841","Yes","I did not receive any information"
"GEN24_1011843","No",NA
"GEN24_1011853","No",NA
"GEN24_1011854","No",NA
"GEN24_1011871","Yes","I did not receive any information"
"GEN24_1011892","Yes","While in New Zealand"
"GEN24_1011897","Yes","I did not receive any information"
"GEN24_1011902","Yes","Before arriving in New Zealand"
"GEN24_1011902","Yes","While in New Zealand"
"GEN24_1011915","No",NA
"GEN24_1011918","No",NA
"GEN24_1011923","No",NA
"GEN24_1011946","Yes","I did not receive any information"
"GEN24_1011952","Yes","While in New Zealand"
"GEN24_1011953","Yes","Before arriving in New Zealand"
"GEN24_1011953","Yes","While in New Zealand"
"GEN24_1011974","Yes","I did not receive any information"
"GEN24_1011982","Yes","While in New Zealand"
"GEN24_1011993","No",NA
"GEN24_1012001","Yes","I did not receive any information"
"GEN24_1012031","Yes","While in New Zealand"
"GEN24_1012037","Yes","Before arriving in New Zealand"
"GEN24_1012045","Yes","Before arriving in New Zealand"
"GEN24_1012050","No",NA
"GEN24_1012074","Yes","I did not receive any information"
"GEN24_1012088","Yes","I did not receive any information"
"GEN24_1012091","Yes","I did not receive any information"
"GEN24_1012094","Yes","Before arriving in New Zealand"
"GEN24_1012098","No",NA
"GEN24_1012107","Yes","I did not receive any information"
"GEN24_1012108","Yes","I did not receive any information"
"GEN24_1012110","Yes","While in New Zealand"
"GEN24_1012112","Yes","I did not receive any information"
"GEN24_1012128","Yes","I did not receive any information"
"GEN24_1012169","No",NA
"GEN24_1012175","No",NA
"GEN24_1012188","Yes","I did not receive any information"
"GEN24_1012197","No",NA
"GEN24_1012198","Yes","I did not receive any information"
"GEN24_1012206","Yes","Before arriving in New Zealand"
"GEN24_1012211","Yes","I did not receive any information"
"GEN24_1012216","No",NA
"GEN24_1012218","No",NA
"GEN24_1012238","Yes","I did not receive any information"
"GEN24_1012243","No",NA
"GEN24_1012245","Yes","I did not receive any information"
"GEN24_1012294","Yes","I did not receive any information"
"GEN24_1012295","Yes","Before arriving in New Zealand"
"GEN24_1012306","Yes","Before arriving in New Zealand"
"GEN24_1012306","Yes","While in New Zealand"
"GEN24_1012309","Yes","Before arriving in New Zealand"
"GEN24_1012319","Yes","While in New Zealand"
"GEN24_1012353","No",NA
"GEN24_1012360","Yes","I did not receive any information"
"GEN24_1012363","Yes","I did not receive any information"
"GEN24_1012364","Yes","I did not receive any information"
"GEN24_1012369","Yes","I did not receive any information"
"GEN24_1012376","Yes","I did not receive any information"
"GEN24_1012380","Yes","I did not receive any information"
"GEN24_1012391","Yes","I did not receive any information"
"GEN24_1012415","Yes","I did not receive any information"
"GEN24_1012423","Yes","I did not receive any information"
"GEN24_1012424","No",NA
"GEN24_1012426","Yes","I did not receive any information"
"GEN24_1012438","Yes","I did not receive any information"
"GEN24_1012445","No",NA
"GEN24_1012454","Yes","I did not receive any information"
"GEN24_1012460","Yes","While in New Zealand"
"GEN24_1012461","Yes","Before arriving in New Zealand"
"GEN24_1012464","Yes","Before arriving in New Zealand"
"GEN24_1012499","Yes","I did not receive any information"
"GEN24_1012505","No",NA
"GEN24_1012506","Yes","I did not receive any information"
"GEN24_1012508","Yes","I did not receive any information"
"GEN24_1012516","Yes","Before arriving in New Zealand"
"GEN24_1012518","Yes","Before arriving in New Zealand"
"GEN24_1012523","Yes","I did not receive any information"
"GEN24_1012525","Yes","I did not receive any information"
"GEN24_1012529","Yes","While in New Zealand"
"GEN24_1012530","Yes","While in New Zealand"
"GEN24_1012540","No",NA
"GEN24_1012541","Yes","I did not receive any information"
"GEN24_1012548","Yes","Before arriving in New Zealand"
"GEN24_1012549","Yes","Before arriving in New Zealand"
"GEN24_1012587","Yes","Before arriving in New Zealand"
"GEN24_1012600","No",NA
"GEN24_1012607","Yes","While in New Zealand"
"GEN24_1012608","Yes","I did not receive any information"
"GEN24_1012610","Yes","While in New Zealand"
"GEN24_1012612","No",NA
"GEN24_1012614","No",NA
"GEN24_1012619","No",NA
"GEN24_1012620","No",NA
"GEN24_1012621","No",NA
"GEN24_1012624","No",NA
"GEN24_1012630","Yes","I did not receive any information"
"GEN24_1012632","Yes","I did not receive any information"
"GEN24_1012636","Yes","While in New Zealand"
"GEN24_1012640","Yes","I did not receive any information"
"GEN24_1012647","No",NA
"GEN24_1012659","Yes","While in New Zealand"
"GEN24_1012661","Yes","Before arriving in New Zealand"
"GEN24_1012665","Yes","I did not receive any information"
"GEN24_1012667","Yes","I did not receive any information"
"GEN24_1012679","No",NA
"GEN24_1012687","Yes","I did not receive any information"
"GEN24_1012688","Yes","Before arriving in New Zealand"
"GEN24_1012691","Yes","I did not receive any information"
"GEN24_1012693","Yes","I did not receive any information"
"GEN24_1012712","Yes","Before arriving in New Zealand"
"GEN24_1012712","Yes","While in New Zealand"
"GEN24_1012716","Yes","I did not receive any information"
"GEN24_1012727","Yes","Before arriving in New Zealand"
"GEN24_1012736","No",NA
"GEN24_1012737","Yes","I did not receive any information"
"GEN24_1012739","Yes","Before arriving in New Zealand"
"GEN24_1012743","Yes","While in New Zealand"
"GEN24_1012751","Yes","I did not receive any information"
"GEN24_1012756","Yes","Before arriving in New Zealand"
"GEN24_1012756","Yes","While in New Zealand"
"GEN24_1012765","Yes","I did not receive any information"
"GEN24_1012769","No",NA
"GEN24_1012772","Yes","I did not receive any information"
"GEN24_1012774","Yes","Before arriving in New Zealand"
"GEN24_1012777","Yes","I did not receive any information"
"GEN24_1012783","Yes","I did not receive any information"
"GEN24_1012786","Yes","I did not receive any information"
"GEN24_1012788","Yes","While in New Zealand"
"GEN24_1012793","Yes","I did not receive any information"
"GEN24_1012795","No",NA
"GEN24_1012801","Yes","I did not receive any information"
"GEN24_1012806","No",NA
"GEN24_1012809","Yes","While in New Zealand"
"GEN24_1012815","Yes","I did not receive any information"
"GEN24_1012821","Yes","I did not receive any information"
"GEN24_1012825","Yes","I did not receive any information"
"GEN24_1012826","Yes","I did not receive any information"
"GEN24_1012830","Yes","Before arriving in New Zealand"
"GEN24_1012833","Yes","I did not receive any information"
"GEN24_1012838","No",NA
"GEN24_1012839","No",NA
"GEN24_1012841","Yes","I did not receive any information"
"GEN24_1012844","Yes","I did not receive any information"
"GEN24_1012849","Can’t remember",NA
"GEN24_1012851","Yes","While in New Zealand"
"GEN24_1012853","Yes","I did not receive any information"
"GEN24_1012854","Yes","Before arriving in New Zealand"
"GEN24_1012862","Yes","Before arriving in New Zealand"
"GEN24_1012866","Yes","While in New Zealand"
"GEN24_1012876","No",NA
"GEN24_1012877","Yes","While in New Zealand"
"GEN24_1012881","Yes","I did not receive any information"
"GEN24_1012891","Yes","I did not receive any information"
"GEN24_1012894","Yes","I did not receive any information"
"GEN24_1012901","Yes","I did not receive any information"
"GEN24_1012902","Yes","I did not receive any information"
"GEN24_1012908","Yes","I did not receive any information"
"GEN24_1012909","Yes","I did not receive any information"
"GEN24_1012910","No",NA
"GEN24_1012914","Yes","Before arriving in New Zealand"
"GEN24_1012935","Yes","I did not receive any information"
"GEN24_1012949","Yes","I did not receive any information"
"GEN24_1012953","Yes","While in New Zealand"
"GEN24_1012954","Yes","Before arriving in New Zealand"
"GEN24_1012960","No",NA
"GEN24_1012972","No",NA
"GEN24_1012980","Yes","I did not receive any information"
"GEN24_1012983","Yes","Before arriving in New Zealand"
"GEN24_1012989","Yes","I did not receive any information"
"GEN24_1012992","Yes","Before arriving in New Zealand"
"GEN24_1012996","No",NA
"GEN24_1012999","Yes","Before arriving in New Zealand"
"GEN24_1013005","Yes","I did not receive any information"
"GEN24_1013006","Yes","While in New Zealand"
"GEN24_1013019","No",NA
"GEN24_1013029","Yes","Before arriving in New Zealand"
"GEN24_1013033","Yes","I did not receive any information"
"GEN24_1013035","Yes","Before arriving in New Zealand"
"GEN24_1013036","Yes","I did not receive any information"
"GEN24_1013037","No",NA
"GEN24_1013041","Yes","I did not receive any information"
"GEN24_1013046","Yes","I did not receive any information"
"GEN24_1013056","Yes","I did not receive any information"
"GEN24_1013058","Yes","Before arriving in New Zealand"
"GEN24_1013059","Yes","I did not receive any information"
"GEN24_1013060","Yes","I did not receive any information"
"GEN24_1013063","Yes","Before arriving in New Zealand"
