response_id,environment_availability_of_public_facilities_toilets_rubbish_bins_etc,environment_feeling_of_safety,environment_feeling_welcomed,environment_natural_scenery_wilderness,environment_protection_of_natural_resources,environment_protection_of_wildlife_whales_penguins_albatross_kiwi_etc,environment_quality_of_drinking_water,environment_quality_of_flowing_water_rivers_streams_sea,environment_quality_of_the_air
GEN24_1006655,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good
GEN24_1006656,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1006660,4 - Good,5 - Very Good,4 - Good,4 - Good,3 - Neither good nor poor,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006661,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006662,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good
GEN24_1006663,5 - Very Good,5 - Very Good,5 - Very Good,NA,NA,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006670,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006672,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006674,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006679,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006687,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006689,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,3 - Neither good nor poor,5 - Very Good,NA,5 - Very Good
GEN24_1006690,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006692,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006693,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,5 - Very Good,3 - Neither good nor poor,4 - Good,5 - Very Good
GEN24_1006701,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006702,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006704,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006712,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006713,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1006717,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006719,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006721,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006722,3 - Neither good nor poor,4 - Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good
GEN24_1006732,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good
GEN24_1006740,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006741,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,3 - Neither good nor poor,5 - Very Good,5 - Very Good
GEN24_1006745,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006751,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good
GEN24_1006752,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006756,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,NA,4 - Good,NA,5 - Very Good
GEN24_1006759,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,NA,5 - Very Good,NA,NA
GEN24_1006770,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006772,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,3 - Neither good nor poor,4 - Good,4 - Good,2 - Poor
GEN24_1006773,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006791,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1006795,NA,4 - Good,5 - Very Good,5 - Very Good,NA,NA,5 - Very Good,NA,4 - Good
GEN24_1006802,4 - Good,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006815,4 - Good,4 - Good,3 - Neither good nor poor,4 - Good,NA,NA,4 - Good,NA,4 - Good
GEN24_1006816,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006819,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,NA,NA,4 - Good
GEN24_1006820,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006828,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006836,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006840,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006854,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006863,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1006872,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006880,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006881,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006883,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006884,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006888,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006891,4 - Good,4 - Good,2 - Poor,5 - Very Good,5 - Very Good,4 - Good,3 - Neither good nor poor,5 - Very Good,4 - Good
GEN24_1006900,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006907,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006908,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,NA,5 - Very Good,5 - Very Good
GEN24_1006914,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006928,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good
GEN24_1006932,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006937,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,3 - Neither good nor poor
GEN24_1006940,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006944,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006948,4 - Good,5 - Very Good,4 - Good,5 - Very Good,3 - Neither good nor poor,3 - Neither good nor poor,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006949,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1006953,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,4 - Good
GEN24_1006954,4 - Good,4 - Good,4 - Good,5 - Very Good,NA,NA,5 - Very Good,4 - Good,4 - Good
GEN24_1006958,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,NA,4 - Good,4 - Good
GEN24_1006960,4 - Good,4 - Good,5 - Very Good,4 - Good,2 - Poor,4 - Good,4 - Good,2 - Poor,3 - Neither good nor poor
GEN24_1006970,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,3 - Neither good nor poor,4 - Good,4 - Good
GEN24_1006972,4 - Good,3 - Neither good nor poor,4 - Good,4 - Good,NA,NA,4 - Good,NA,4 - Good
GEN24_1006977,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good
GEN24_1006984,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1006989,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good
GEN24_1006990,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007020,4 - Good,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007023,1 - Very Poor,3 - Neither good nor poor,1 - Very Poor,1 - Very Poor,1 - Very Poor,1 - Very Poor,2 - Poor,2 - Poor,3 - Neither good nor poor
GEN24_1007026,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,2 - Poor,5 - Very Good,5 - Very Good,4 - Good
GEN24_1007037,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007038,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007044,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good
GEN24_1007077,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,NA,5 - Very Good
GEN24_1007085,4 - Good,2 - Poor,5 - Very Good,4 - Good,3 - Neither good nor poor,NA,2 - Poor,4 - Good,4 - Good
GEN24_1007086,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007088,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good
GEN24_1007090,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007091,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007092,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007096,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007109,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007113,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007115,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007117,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007120,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007129,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,2 - Poor,4 - Good,4 - Good
GEN24_1007132,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good
GEN24_1007133,4 - Good,4 - Good,3 - Neither good nor poor,3 - Neither good nor poor,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007134,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007137,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,3 - Neither good nor poor,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good
GEN24_1007140,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good
GEN24_1007154,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007155,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,NA,5 - Very Good
GEN24_1007167,NA,NA,5 - Very Good,NA,NA,NA,NA,NA,NA
GEN24_1007168,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,4 - Good
GEN24_1007175,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,3 - Neither good nor poor,3 - Neither good nor poor
GEN24_1007185,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,NA,4 - Good,4 - Good,4 - Good
GEN24_1007188,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007189,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007193,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good
GEN24_1007210,4 - Good,5 - Very Good,3 - Neither good nor poor,5 - Very Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good
GEN24_1007215,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007219,4 - Good,4 - Good,5 - Very Good,5 - Very Good,NA,NA,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007221,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good
GEN24_1007224,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,NA,NA,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007228,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007242,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007246,5 - Very Good,4 - Good,3 - Neither good nor poor,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007251,NA,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good
GEN24_1007253,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007259,3 - Neither good nor poor,3 - Neither good nor poor,5 - Very Good,5 - Very Good,NA,NA,4 - Good,NA,4 - Good
GEN24_1007260,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007265,5 - Very Good,4 - Good,4 - Good,4 - Good,2 - Poor,2 - Poor,2 - Poor,4 - Good,3 - Neither good nor poor
GEN24_1007266,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good
GEN24_1007267,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007275,5 - Very Good,2 - Poor,5 - Very Good,NA,NA,NA,5 - Very Good,NA,5 - Very Good
GEN24_1007276,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,2 - Poor,4 - Good,4 - Good
GEN24_1007283,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007284,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007293,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007294,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,3 - Neither good nor poor,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007298,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007302,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007310,3 - Neither good nor poor,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007329,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007330,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good
GEN24_1007332,5 - Very Good,4 - Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good
GEN24_1007333,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007334,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,5 - Very Good
GEN24_1007336,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good
GEN24_1007339,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007340,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007341,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007342,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,4 - Good,NA,4 - Good,5 - Very Good,4 - Good
GEN24_1007343,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007346,2 - Poor,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007349,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007354,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007364,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good
GEN24_1007368,NA,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007370,4 - Good,5 - Very Good,4 - Good,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007371,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007373,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007377,4 - Good,5 - Very Good,4 - Good,5 - Very Good,NA,NA,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007384,4 - Good,4 - Good,3 - Neither good nor poor,5 - Very Good,4 - Good,4 - Good,3 - Neither good nor poor,4 - Good,5 - Very Good
GEN24_1007385,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,5 - Very Good
GEN24_1007386,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007397,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007398,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007399,5 - Very Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007407,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007413,3 - Neither good nor poor,4 - Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good,5 - Very Good,3 - Neither good nor poor,5 - Very Good,5 - Very Good
GEN24_1007416,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007418,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007421,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007422,1 - Very Poor,1 - Very Poor,4 - Good,5 - Very Good,4 - Good,NA,1 - Very Poor,1 - Very Poor,4 - Good
GEN24_1007423,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007424,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007434,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007437,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007454,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007465,NA,NA,NA,NA,NA,NA,1 - Very Poor,NA,NA
GEN24_1007482,3 - Neither good nor poor,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good
GEN24_1007485,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007486,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007499,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007503,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,4 - Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007509,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007518,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,4 - Good,5 - Very Good,4 - Good,5 - Very Good,5 - Very Good
GEN24_1007519,2 - Poor,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
GEN24_1007520,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,5 - Very Good,5 - Very Good,5 - Very Good
GEN24_1007527,3 - Neither good nor poor,4 - Good,5 - Very Good,5 - Very Good,4 - Good,NA,NA,NA,4 - Good
GEN24_1007529,5 - Very Good,5 - Very Good,5 - Very Good,5 - Very Good,NA,NA,4 - Good,4 - Good,5 - Very Good
GEN24_1007538,3 - Neither good nor poor,4 - Good,4 - Good,5 - Very Good,4 - Good,4 - Good,4 - Good,4 - Good,5 - Very Good
GEN24_1007541,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good,4 - Good
